"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
341757,"IN-0198","heliport","Bagalkot Heliport",16.167272,75.671748,,"AS","IN","IN-KA","Bagalkot","no",,,,,,,
341758,"IN-0199","heliport","Sagar Helipad",14.157544,75.00186,,"AS","IN","IN-KA","Sampalli","no",,,,,,,
341759,"IN-0200","heliport","Infosys Heliport",12.849384,77.661706,,"AS","IN","IN-KA","Bengaluru","no",,,,,,,
341760,"IN-0201","heliport","Karimnagar Heliport",18.429549,79.125341,,"AS","IN","IN-TG","Karimnagar","no",,,,,,,
341761,"IN-0202","heliport","Oterra Hotel Helipad",12.850085,77.660633,,"AS","IN","IN-KA","Bengaluru","no",,,,,,,
341762,"IN-0203","heliport","Chikodi Helipad",16.427864,74.555727,,"AS","IN","IN-KA","Belgaum","no",,,,,,,
341763,"IN-0204","heliport","Hadagali Helipad",15.025368,75.973912,,"AS","IN","IN-KA","Hadagali","no",,,,,,,
341767,"IN-0205","heliport","Kakraban Heliport",23.477405,91.413509,,"AS","IN","IN-TR","Kakraban","no",,,,,,,
341768,"IN-0206","heliport","Udaipur Helipad",23.56406,91.470621,,"AS","IN","IN-TR","Radhakishorepur","no",,,,,,,
341769,"IN-0207","heliport","Paschim Jalefa Heliport",23.026273,91.706276,,"AS","IN","IN-TR","Paschim Jalefa","no",,,,,,,
341775,"IN-0208","heliport","Agra Heliport",27.15727,78.117582,,"AS","IN","IN-UP","Hingot Kheria","no",,,,,,,
341776,"IN-0209","heliport","Rohini Heliport",28.752659,77.058718,719,"AS","IN","IN-DL","Rohini","no",,,,,,,
341777,"IN-0210","heliport","Kuttanellur Heliport",10.501753,76.254586,,"AS","IN","IN-KL","Thrissur","no",,,,,,,
341778,"IN-0211","heliport","Jaypee Greens Helipad",28.46595,77.523169,,"AS","IN","IN-UP","Greater Noida","no",,,,,,,
341798,"IN-0212","heliport","SVP Hospital Helipad",23.019684,72.571711,,"AS","IN","IN-GJ","Ahmedabad","no",,,,,,,
341799,"IN-0213","heliport","Sarkhej-Okaf Heliport",23.0023,72.46914,,"AS","IN","IN-GJ","Sarkhej-Okaf","no",,,,,,,
341800,"IN-0214","heliport","Koba Heliport",23.146389,72.635223,,"AS","IN","IN-GJ","Gandhinagar","no",,,,,,,
341801,"IN-0215","heliport","TELAV Helipad",22.985982,72.42063,,"AS","IN","IN-GJ","Gibpura","no",,,,,,,
341802,"IN-0216","heliport","Dholka Heliport",22.72097,72.459568,,"AS","IN","IN-GJ","Dholka","no",,,,,,,
341803,"IN-0217","heliport","Gujarat State Assembly Heliport",23.217949,72.65901,,"AS","IN","IN-GJ","Gandhinagar","no",,,,,,,"Vidhan Sabha"
341804,"IN-0218","heliport","Kalol Heliport",23.222579,72.498995,,"AS","IN","IN-GJ","Kalol","no",,,,,,,
341805,"IN-0219","heliport","United Phosphorus Helipad",20.337466,72.899429,,"AS","IN","IN-GJ","Nahuli","no",,,,,,,
341806,"IN-0220","heliport","Kawade Heliport",20.114043,72.88384,,"AS","IN","IN-MM","Kawade","no",,,,,,,
341807,"IN-0221","heliport","Daman Heliport",20.433359,72.849382,,"AS","IN","IN-DH","Marwad","no",,,,,,,
341808,"IN-0222","heliport","MAA Foundation Helipad",20.403102,72.904262,,"AS","IN","IN-GJ","Vapi","no",,,,,,,
341809,"IN-0223","heliport","Sardar Patel Heliport",23.010427,71.229845,,"AS","IN","IN-GJ","Halvad","no",,,,,,,
341810,"IN-0224","heliport","Reliance Corporate Park Heliport",19.130282,73.011801,,"AS","IN","IN-MM","Navi Mumbai","no",,,,,,,
341811,"IN-0225","heliport","Reliance Corporate Park North Heliport",19.132914,73.01128,,"AS","IN","IN-MM","Navi Mumbai","no",,,,,,,
341812,"IN-0226","heliport","Mumbai University Heliport",19.066998,72.856918,,"AS","IN","IN-MM","Mumbai","no",,,,,,,
341813,"IN-0227","heliport","Saily Police Training School Heliport",20.252858,73.035821,,"AS","IN","IN-DH","Alok","no",,,,,,,
341814,"IN-0228","heliport","Haveli Grounds Heliport",20.268076,72.984833,,"AS","IN","IN-DH","Silvassa","no",,,,,,,
341816,"IN-0229","heliport","CQAV Heliport",19.11263,74.740041,,"AS","IN","IN-MM","Ahmednagar","no",,,,,,,
341817,"IN-0230","heliport","Ahmednagar Police Heliport",19.100453,74.73498,,"AS","IN","IN-MM","Ahmednagar","no",,,,,,,
341818,"IN-0231","heliport","DMR Area Heliport",19.070711,74.787925,,"AS","IN","IN-MM","Ahmednagar","no",,,,,,,
341819,"IN-0232","heliport","ACC&S Heliport",19.084887,74.777932,,"AS","IN","IN-MM","Ahmednagar","no",,,,,,,
341820,"IN-0233","heliport","MIRC Heliport",19.05024,74.767188,,"AS","IN","IN-MM","Wakodi","no",,,,,,,
341836,"IN-0234","heliport","Mizoram University Heliport",23.732843,92.65553,,"AS","IN","IN-MZ","Aizawl","no",,,,,,,
341837,"IN-0235","heliport","Mualpui Helipot",23.715285,92.736057,,"AS","IN","IN-MZ","Aizawl","no",,,,,,,
341838,"IN-0236","heliport","Luangpawl Heliport",23.894013,92.497234,,"AS","IN","IN-MZ","Mamit","no",,,,,,,
341839,"IN-0237","heliport","Kawrtethawveng Heliport",23.873867,92.372788,,"AS","IN","IN-MZ","Kawrtethawveng","no",,,,,,,
341840,"IN-0238","heliport","Kawnpui Helipad",24.046672,92.671347,,"AS","IN","IN-MZ","Kawnpui","no",,,,,,,
341841,"IN-0239","heliport","Sialsuk Heliport",23.394918,92.753586,,"AS","IN","IN-MZ","Sialsuk","no",,,,,,,
341842,"IN-0240","heliport","Saitual Heliport",23.693488,92.978364,,"AS","IN","IN-MZ","Saitual","no",,,,,,,
341843,"IN-0241","heliport","Darlawn Chhimveng Heliport",24.010327,92.148375,,"AS","IN","IN-MZ","Darlawn","no",,,,,,,
341844,"IN-0242","heliport","Tuipuibari Heliport",23.71351,92.327704,,"AS","IN","IN-MZ","Tuipuibari","no",,,,,,,
341845,"IN-0243","heliport","Suangpuilawn Heliport",23.94864,93.032695,,"AS","IN","IN-MZ","Suangpuilawn","no",,,,,,,
341846,"IN-0244","heliport","Champhai Heliport",23.469998,93.34356,,"AS","IN","IN-MZ","Champhai","no",,,,,,,
341886,"IN-0245","heliport","Ghooghra Heliport Ajmer",26.509349,74.704718,,"AS","IN","IN-RJ","Ghooghra","no",,,,,,,
341887,"IN-0246","heliport","Pushkar Heliport",26.485927,74.543235,,"AS","IN","IN-RJ","Pushkar","no",,,,,,,
341888,"IN-0247","heliport","Kishanpura Goyla Heliport",26.476022,74.519229,,"AS","IN","IN-RJ","Kishanpura Goyla","no",,,,,,,
341889,"IN-0248","heliport","Tiloniya Heliport",26.646926,74.938877,,"AS","IN","IN-RJ","Tiloniya","no",,,,,,,
341890,"IN-0249","heliport","Pushkar Hotel Heliport",26.479509,74.518667,,"AS","IN","IN-RJ","Kishanpura Goyla","no",,,,,,,
341891,"IN-0250","heliport","Central University of Rajasthan Heliport",26.628069,75.028541,,"AS","IN","IN-RJ","Bandar Seendri","no",,,,,,,
341898,"IN-0251","heliport","HAL Heliport",26.21757,81.817293,,"AS","IN","IN-UP","Korwa","no",,,,,,,
341899,"IN-0252","heliport","Mau Heliport",25.913982,83.561476,,"AS","IN","IN-UP","Mau","no",,,,,,,
